time,CSX,UNP
566,20.12,52.51
567,20.6,52.12
568,20.1,50.9
569,20.16,50.65
570,20.1,50.69
571,20.66,51.69
572,20.68,50.82
573,21,51.12
574,20.84,51.24
575,20.24,50.08
576,19.67,49.51
577,19.9,49.9
578,20.6,51.32
579,20.47,50.96
580,20.62,50.98
581,20.95,51.5
582,20.74,51.72
583,20.13,49.85
584,20.18,50.59
585,20.07,51.41
586,20.37,52.13
587,20.69,53.53
588,20.91,53.47
589,20.91,53.72
590,20.81,53.03
591,21.18,54.15
592,21.06,54.26
593,20.97,53.8
594,20.68,53.58
595,20.53,53.59
596,20.53,53.33
597,20.23,52.77
598,20.24,53.02
599,20.23,52.91
600,20.11,52.39
601,20.09,53.02
602,20.1,52.82
603,19.63,51.01
604,19.4,50.55
605,19.92,51.97
606,19.73,52.53
607,20.05,53.06
608,19.94,53.24
609,19.96,52.77
610,20.11,53.39
611,19.63,52.09
612,19.64,52.82
613,19.1,51.26
614,19.12,50.48
615,19.11,50.78
616,19.64,52.25
617,19.73,52.29
618,19.81,52.46
619,19.72,51.98
620,20.46,53.19
621,20.43,53.25
622,20.61,53.89
623,20.96,54.47
624,21.33,56.04
625,21.29,56.15
626,21.12,55.62
627,20.77,54.75
628,20.33,55.23
629,20.02,54.02
630,20.14,54.38
631,20.53,54.43
632,20.57,54.68
633,21.02,56.58
634,20.85,56.22
635,20.89,56.4
636,20.93,56.07
637,21.06,55.36
638,21.05,55.95
639,20.89,55.22
640,20.91,55.25
641,20.79,55.14
642,21.3,56.03
643,21.23,55.94
644,21.42,56.12
645,21.27,56.24
646,21.41,58.22
647,21.03,56.71
648,20.58,55.62
649,20.35,55.38
650,20.52,55.67
651,20.91,57.29
652,21.48,58.08
653,21.52,58.39
654,21.56,58.14
655,21.16,57.66
656,21.24,57.76
657,21.72,59.06
658,21.53,58.51
659,21.47,58.44
660,21.44,57.85
661,21.29,57.51
662,21.6,57.86
663,21.51,57.7
664,21.58,57.7
665,21.62,58.66
666,21.8,59.24
667,21.99,59.28
668,21.99,58.95
669,21.86,59.14
670,21.83,59.13
671,21.47,58.7
672,21.61,58.79
673,21.41,58.63
674,21.34,58.56
675,21.37,58.51
676,21.2,57.85
677,21.24,57.87
678,20.55,58.26
679,20.24,56.81
680,20.86,57.77
681,21.1,58.25
682,21.07,58.54
683,21.43,59.18
684,21.6,59.53
685,21.79,60.26
686,21.9,61.2
687,22,60.47
688,21.76,60.34
689,21.55,59.59
690,20.32,57.63
691,19.98,56.88
692,20.2,57.71
693,20.02,57.36
694,19.86,56.67
695,19.97,56.47
696,19.63,56.56
697,19.68,56.48
698,19.58,56.75
699,20.03,57.49
700,20.14,57.93
701,20.26,58.21
702,20.44,58.44
703,20.06,57.78
704,19.95,57.62
705,20.01,57.62
706,20.15,57.68
707,20.29,57.62
708,20.46,58.8
709,20.04,58.96
710,20.2,59.73
711,19.96,58.98
712,20.14,59.25
713,20.15,58.71
714,19.47,57.6
715,19.46,57.96
716,19.44,58.9
717,19.36,58.62
718,19.7,60.03
719,19.54,59.08
720,19.59,58.96
721,19.73,59.45
722,19.13,58.2
723,18.95,57.67
724,18.8,57.3
725,18.88,58.02
726,18.82,57.81
727,18.53,55.97
728,18.32,56.22
729,17.98,56.02
730,18.61,57.04
731,18.46,57.19
732,18.32,57.2
733,18.64,58.12
734,18.93,58.07
735,18.93,58.25
736,18.84,58.84
737,18.9,59.02
738,18.82,58.84
739,18.64,58.19
740,18.71,58.64
741,19.2,58.88
742,19.29,59.01
743,18.96,59.4
744,18.98,60.01
745,18.66,59.23
746,18.71,59.76
747,18.8,59.75
748,18.83,59.56
749,18.96,60.23
750,19.28,60.94
751,19.06,60.27
752,19.14,60.44
753,19,60.23
754,18.91,60.14
755,18.76,59.76
756,18.69,59.72
757,18.51,59.2
758,18.79,60.25
759,19.21,61.56
760,19.39,61.65
761,19.94,62.72
762,19.49,62.43
763,19.53,62.38
764,19.56,62.72
765,19.56,62.82
766,19.56,62.76
767,19.67,62.94
768,19.79,62.99
769,19.83,62.95
770,19.9,63.1
771,19.92,63.49
772,19.82,64.08
773,20.65,64.86
774,21.04,64.14
775,21.18,64.58
776,21.26,63.67
777,21.45,64.58
778,21.08,62.86
779,20.98,63
780,20.88,64.19
781,20.62,63.25
782,20.61,63.8
783,20.54,63.85
784,20.69,63.26
785,20.93,63.81
786,21.57,63.94
787,21.56,64.54
788,21.78,64.83
789,21.84,65.25
790,21.71,65.57
791,21.98,65.91
792,21.73,64.56
793,21.48,64.33
794,21.77,65.18
795,21.16,63.82
796,21.22,64.52
797,21.85,65.85
798,21.99,66.05
799,22.02,65.79
800,22.19,66.64
801,22.6,67
802,22.24,66.94
803,21.77,66
804,22.04,66.81
805,22.37,67.29
806,22.41,66.96
807,22.6,67.23
808,22.87,67.92
809,23.02,68.25
810,22.95,67.54
811,22.96,67.24
812,23.29,67.02
813,22.93,66.65
814,23.03,67.02
815,22.9,66.09
816,23.14,67.19
817,23.34,67.84
818,23.61,68.6
819,23.2,67.49
820,23.19,67.83
821,22.96,66.88
822,22.78,66.7
823,22.85,66.74
824,22.96,67.26
825,22.91,67.31
826,23.23,68.06
827,23.27,68.11
828,23.49,68.05
829,22.5,65.4
830,23.14,67.25
831,22.53,65.96
832,22.77,68.62
833,22.72,70.26
834,22.81,71.02
835,22.81,71.02
836,22.99,70.96
837,23.29,71.4
838,23.36,71.06
839,23.59,71.01
840,23.57,71.27
841,23.07,70.17
842,23.3,70.89
843,23.78,71.98
844,24.18,72.93
845,24.28,74.05
846,24.57,74.85
847,24.37,74.02
848,24.37,74.33
849,24.26,74.13
850,24.69,75.6
851,24.82,76.12
852,24.63,75.65
853,24.84,77.03
854,25.04,76.89
855,25.05,76.33
856,24.69,75.91
857,24.3,75.18
858,24.44,75.54
859,24.25,75.98
860,24.29,75.54
861,24.55,76.04
862,24.31,74.81
863,24.28,75.42
864,23.85,75.34
865,23.35,73.39
866,23.84,74.75
867,24.12,76.51
868,24.18,76
869,23.88,74.91
870,23.96,74.66
871,24.16,75.94
872,24.05,75.97
873,23.95,75.46
874,24.38,76.42
875,23.72,75.31
876,23.1,74.11
877,22.63,73.87
878,21.84,72.25
879,22.31,74.23
880,22.4,75.62
881,22.62,75.16
882,22.36,74.64
883,22.39,75.2
884,22.28,75.09
885,22.21,75.14
886,22.43,76.19
887,22.44,75.6
888,23.2,77.13
889,23.05,76.26
890,23.52,77.1
891,23.49,77.77
892,23.47,77.31
893,23.76,77.03
894,24.2,77.26
895,24.64,78.07
896,24.48,79.04
897,24.41,79
898,24.37,78.21
899,24.05,77.12
900,24.07,77.45
901,23.8,77.12
902,23.77,76.07
903,23.83,76.79
904,23.92,76.73
905,24.53,78.75
906,25.12,79.04
907,24.93,78.36
908,24.69,77.41
909,24.5,76.97
910,24.9,77.68
911,24.78,77.31
912,24.49,77.01
913,24.41,77.5
914,24.39,76.73
915,24.26,75.85
916,24.26,76.41
917,24,75.71
918,23.93,75.69
919,23.75,74.93
920,24.28,76.73
921,24.45,76.47
922,24.54,75.73
923,23.92,74.31
924,23.99,74.89
925,24.09,74.97
926,23.87,74.67
927,24.16,74.77
928,24.53,75.53
929,24.67,75.92
930,24.69,75.34
931,24.89,76.17
932,25.28,76.47
933,25.39,76.47
934,25.02,75.38
935,25.28,75.26
936,25.43,76.04
937,25.43,76.57
938,25.89,77.57
939,25.95,78.23
940,25.63,77.59
941,25.42,77.43
942,25.3,77.44
943,25.16,76.58
944,25.2,76.81
945,25.08,76.15
946,24.97,75.55
947,25.37,76.2
948,25.29,75.93
949,24.91,75.56
950,24.8,74.85
951,24.6,74.28
952,24.49,74
953,24.7,74.12
954,25.29,76.42
955,25.06,76.53
956,25.24,76.48
957,25.32,76.02
958,25.12,76.43
959,24.61,73.51
960,24.93,73.97
961,25.25,74.85
962,25.31,75.25
963,25.39,75.33
964,25.66,74.97
965,25.81,74.1
966,25.89,73.96
967,25.86,73.23
968,25.41,73.24
969,25.28,73.63
970,25.49,74.3
971,25.69,74.78
972,25.67,74.51
973,25.46,75.02
974,25.44,74.96
975,25.81,75.4
976,26.13,75.77
977,25.98,76.19
978,26.09,76.86
979,26.19,76.98
980,26.19,77.56
981,26.41,77.47
982,26.09,76.89
983,26.1,77.12
984,26.24,78.19
985,26.53,78.79
986,26.58,78.77
987,26.44,78.6
988,26.63,79.19
989,26.6,79.19
990,26.66,79.92
991,26.74,79.39
992,26.53,78.87
993,26.9,79.35
994,27.07,80.31
995,27.39,80.39
996,27.3,79.54
997,26.68,78.53
998,26.61,78.67
999,26.89,78.56
1000,27.16,79.02
1001,26.99,78.69
1002,27.24,79.93
1003,27.19,80.24
1004,27.39,79.95
1005,27.55,80.61
1006,27.66,80.95
1007,27.73,81.33
1008,27.59,81.15
1009,27.64,81.15
1010,28.06,82.1
1011,27.56,81.67
1012,27.73,81.54
1013,27.53,80.71
1014,27.65,81.43
1015,27.54,81.58
1016,27.96,82.72
1017,28.17,83.26
1018,27.73,82.12
1019,28.17,82.5
1020,28.51,83.15
1021,26.57,82.08
1022,26.56,82.02
1023,26.38,82.16
1024,26.55,82.34
1025,26.36,85.09
1026,25.56,83.88
1027,25.5,83.67
1028,25.87,84.45
1029,25.49,84.03
1030,26.11,86.12
1031,26.25,85.15
1032,25.38,83.93
1033,25.7,84.67
1034,25.86,84.36
1035,26.37,85.58
1036,26.58,86.45
1037,26.4,85.41
1038,26.64,86.84
1039,26.72,87.4
1040,26.7,87.3
1041,26.85,88.03
1042,26.74,87.13
1043,26.42,85.95
1044,26.68,86.92
1045,26.65,87.53
1046,27.01,87.77
1047,26.64,87.33
1048,26.69,87.04
1049,26.93,87.68
1050,27.18,88.6
1051,27.07,88.17
1052,27.76,90.31
1053,27.99,90.55
1054,28.18,91.29
1055,28.32,92.13
1056,28.34,91.47
1057,28.29,91.25
1058,28.34,92.12
1059,27.91,91.29
1060,27.83,90.94
1061,28.08,92.04
1062,28.19,93.03
1063,28,91.78
1064,28.08,92.7
1065,28.21,92.02
1066,28.14,92.34
1067,28.51,91.84
1068,28.1,90.53
1069,27.73,90.04
1070,28.03,90.75
1071,28.41,92.18
1072,28.56,92.56
1073,28.66,92.88
1074,28.53,92.92
1075,28.21,92.37
1076,27.84,91.49
1077,27.72,91.03
1078,27.96,91.64
1079,27.43,90.17
1080,27.47,88.94
1081,27.83,89.45
1082,27.75,91.13
1083,27.26,92.42
1084,27.61,93.13
1085,27.64,94.08
1086,27.67,94.33
1087,27.62,94.26
1088,27.85,93.61
1089,27.49,92.24
1090,27.61,92.31
1091,27.63,93.27
1092,27.68,93.54
1093,27.33,92.74
1094,27.3,92.34
1095,27.44,92.22
1096,27.39,92
1097,27.52,92.52
1098,27.83,92.69
1099,28.14,92.99
1100,28.59,94.13
1101,28.96,94.75
1102,28.8,94.41
1103,28.51,93.88
1104,28.71,95.86
1105,28.7,96.07
1106,28.64,95.23
1107,29.09,95.91
1108,28.88,95.93
1109,29.02,96.4
1110,28.91,96.81
1111,29.18,96.46
1112,29.11,97.16
1113,28.99,97.88
1114,29.14,97.83
1115,28.66,96.96
1116,28.72,97.17
1117,29.38,98.41
1118,29.97,99.15
1119,30,100.34
1120,29.95,100.62
1121,29.94,100.38
1122,29.57,99.34
1123,29.93,99.57
1124,29.84,98.49
1125,30.04,98.06
1126,30.37,99.34
1127,30.4,99.69
1128,30.57,99.74
1129,30.38,99.36
1130,29.85,98.36
1131,30.22,98.77
1132,30.23,98.25
1133,30.34,98.32
1134,30.38,98.43
1135,30.54,98.78
1136,30.59,98.75
1137,30.77,99.65
1138,30.58,98.93
1139,30.47,98.77
1140,30.67,99.28
1141,30.41,98.29
1142,30.57,98.94
1143,30.6,99.75
1144,30.72,100.03
1145,30.76,100.43
1146,30.33,99.12
1147,30.66,100
1148,30.71,100.3
1149,30.92,101.5
1150,30.7,101.16
1151,30.67,100.43
1152,30.57,100.32
1153,30.3,99.31
1154,30.1,98.28
1155,30.04,98.16
1156,29.51,97.01
1157,29.18,96.62
1158,29.31,96.99
1159,29.02,96.67
1160,28.9,96.22
1161,28.86,96.19
1162,29.13,97.34
1163,29.39,98.25
1164,29.22,98.35
1165,29.31,99.24
1166,29.74,100.39
1167,29.8,100.64
1168,30.22,102.42
1169,30.16,103.01
1170,30.44,104.17
1171,30.21,104.46
1172,30.28,104.37
1173,30.31,104.24
1174,30.4,104.16
1175,30.51,104.4
1176,30.5,104.15
1177,30.64,104.37
1178,30.79,105.31
1179,30.84,105.69
1180,30.94,106.34
1181,31.22,106.77
1182,30.92,106.54
1183,30.83,106.55
1184,30.73,106.47
1185,31.09,106.79
1186,31.02,106.1
1187,31.22,106.13
1188,31.59,107
1189,32.06,108.65
1190,32.11,108.47
1191,32.18,108.43
1192,31.78,107.58
1193,31.44,106.88
1194,31.76,107.76
1195,31.5,106.28
1196,32.04,107.65
1197,31.98,107.61
1198,31.78,107.5
1199,30.82,104.9
1200,31.07,105.2
1201,31.65,108.58
1202,31.79,108.36
1203,30.83,105.46
1204,31.22,107.1
1205,30.46,104.44
1206,29.68,100.48
1207,31.42,97.24
1208,32.33,99.31
1209,32.69,98.85
1210,32.69,103.14
1211,33.57,105.49
1212,33.22,105.26
1213,33.9,107.93
1214,33.68,105.95
1215,34.52,111.27
1216,34.99,113.6
1217,34.67,113.81
1218,34.98,115.19
1219,35.09,113.99
1220,34.98,114.02
1221,35.32,115.46
1222,35.06,114.28
1223,34.3,114.3
1224,34.28,115.42
1225,34.82,117.93
1226,35.14,117.74
1227,36.24,119.87
1228,36.39,120.21
1229,36.45,119.68
1230,36.31,119.23
1231,36.47,119.68
1232,36.35,119.29
1233,36.35,119.59
1234,36.55,119.47
1235,36.97,119.88
1236,37.23,120.81
1237,37.55,121.86
1238,37.71,121.47
1239,37.74,122.26
1240,36.33,116.25
1241,34.9,114.12
1242,36.3,118.44
1243,37.09,120.41
1244,36.38,119.22
1245,36.78,118.08
1246,35.69,114.42
1247,36.04,115.54
1248,34.83,113.18
1249,35.22,113.84
1250,34.68,112.05
1251,34.37,111.84
1252,34.51,111.7
1253,35.61,114.4
1254,35.9,118.34
1255,35.6,117.94
1256,36.27,119.87
1257,36.47,120.14
1258,36.4,119.76
1259,36.52,119.85
1260,36.64,120.16
1261,36.27,119.71
1262,36.07,118.6
1263,35.69,118.08
1264,34.72,114.09
1265,33.34,111.73
1266,33.78,112.34
1267,34.31,116.56
1268,34.25,114.46
1269,33.76,113.46
1270,33.4,111.33
1271,33.5,110.86
1272,33.96,110.3
1273,34.7,111.4
1274,34.38,113.44
1275,34.54,113.89
1276,35.09,119.29
1277,34.31,119.55
1278,34.8,120.79
1279,34.17,120.32
1280,33.55,118.62
1281,33.61,119.55
1282,33.15,116.68
1283,33.53,118.48
1284,34.5,121.24
1285,34.41,119.9
1286,35.04,122.3
1287,35.28,121.26
1288,35.14,118.91
1289,35.37,120.33
1290,35.78,121.59
1291,36.41,123.27
1292,35.92,122.05
1293,35.69,121.99
1294,35.23,122.8
1295,35.37,121.41
1296,35.39,123.11
1297,35.61,123.2
1298,35.41,122.14
1299,35.21,122.42
1300,34.31,120.76
1301,34.31,120.26
1302,34.67,120.75
1303,34.12,118.46
1304,34.24,118.21
1305,33.88,118.33
1306,33.68,116.45
1307,33.95,117.17
1308,33.43,114.75
